cropid	cropname	primary(1)_secondary(2)_feed(3)	Edible_(1 yes)_(0isno)_(2isnonnutritinoal)	ProductionL	TradeL	FBS ID	FBS name	group	kcal/ton	Protein(g/ton)	Fat(g/ton)	Group	Groupnum
161	"Sugar crops, nes"	1	1	1	1	2543	"Sweeteners, Other"	Sugar	3900000	0	0	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
162	Sugar Raw Centrifugal	2		0	1	2542	Sugar (Raw Equivalent)	Sugar	3730000	0	0	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
163	Sugar Non- Centrifugal	2		0	1	2541	"Sugar, Non-Centrifugal"	Sugar	3510000	10000	0	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
164	Sugar Refined	2		0	1	2542	Sugar (Raw Equivalent)	Sugar	3870000	0	0	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
165	Molasses	2		0	1	2543	"Sweeteners, Other"	Sugar	2320000	0	0	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
166	Other Fructose and Syrup	2		0	1	2543	"Sweeteners, Other"	Sugar	2980000	3000	0	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
167	"Sugar, nes"	2		0	1	2543	"Sweeteners, Other"	Sugar	3100000	0	0	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
168	Sugar Confectionery	2		0	1	2542	Sugar (Raw Equivalent)	Sugar	3100000	0	0	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
169	Beet Pulp	3		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
170	Bagasse	3		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
171	Sugar flavoured	2		0	1	2542	Sugar (Raw Equivalent)	Sugar	3100000	0	0	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
172	Glucose and Dextrose	2		0	1	2543	"Sweeteners, Other"	Sugar	3680000	0	0	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
173	Lactose	2		0	1	2543	"Sweeteners, Other"	Sugar	3870000	0	0	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
175	Isoglucose	2		0	1	2543	"Sweeteners, Other"	Sugar	3180000	0	0	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
176	"Beans, dry"	1	1	1	1	2546	Beans	Oilseeds	3410000	221000	17000	4 - PULSES AND DERIVED PRODUCTS	4
181	"Broad beans, horse beans, dry"	1	1	1	1	2549	"Pulses, Other"	Oilseeds	3430000	234000	20000	4 - PULSES AND DERIVED PRODUCTS	4
187	"Peas, dry"	1	1	1	1	2547	Peas	Oilseeds	3460000	225000	18000	4 - PULSES AND DERIVED PRODUCTS	4
191	Chick peas	1	1	1	1	2549	"Pulses, Other"	Oilseeds	3580000	201000	45000	4 - PULSES AND DERIVED PRODUCTS	4
195	"Cow peas, dry"	1	1	1	1	2549	"Pulses, Other"	Oilseeds	3420000	234000	18000	4 - PULSES AND DERIVED PRODUCTS	4
197	Pigeon peas	1	1	1	1	2549	"Pulses, Other"	Oilseeds	3430000	209000	17000	4 - PULSES AND DERIVED PRODUCTS	4
201	Lentils	1	1	1	1	2549	"Pulses, Other"	Oilseeds	3460000	242000	18000	4 - PULSES AND DERIVED PRODUCTS	4
203	Bambara beans	1	1	1	1	2549	"Pulses, Other"	Oilseeds	3650000	177000	63000	4 - PULSES AND DERIVED PRODUCTS	4
205	Vetches	1	1	1	1	2549	"Pulses, Other"	Oilseeds	3250000	315000	19000	4 - PULSES AND DERIVED PRODUCTS	4
210	Lupins	1	1	1	1	2549	"Pulses, Other"	Oilseeds	3900000	400000	130000	4 - PULSES AND DERIVED PRODUCTS	4
211	"Pulses, nes"	1	1	1	1	2549	"Pulses, Other"	Oilseeds	3400000	220000	20000	4 - PULSES AND DERIVED PRODUCTS	4
212	Flour of Pulses	2		0	1	2549	"Pulses, Other"	Oilseeds	3400000	220000	20000	4 - PULSES AND DERIVED PRODUCTS	4
213	Bran of Pulses	3		0	0	2549	"Pulses, Other"	Oilseeds	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
216	"Brazil nuts, with shell"	1	1	1	1	2551	Nuts	Oilseeds	3150000	69000	318000	5 - NUTS AND DERIVED PRODUCTS	5
217	"Cashew nuts, with shell"	1	1	1	1	2551	Nuts	Oilseeds	2520000	77000	206000	5 - NUTS AND DERIVED PRODUCTS	5
220	Chestnuts	1	1	1	1	2551	Nuts	Oilseeds	1580000	18000	17000	5 - NUTS AND DERIVED PRODUCTS	5
221	"Almonds, with shell"	1	1	1	1	2551	Nuts	Oilseeds	2360000	80000	209000	5 - NUTS AND DERIVED PRODUCTS	5
222	"Walnuts, with shell"	1	1	1	1	2551	Nuts	Oilseeds	2890000	64000	278000	5 - NUTS AND DERIVED PRODUCTS	5
223	Pistachios	1	1	1	1	2551	Nuts	Oilseeds	2890000	103000	242000	5 - NUTS AND DERIVED PRODUCTS	5
224	Kolanuts	1	0	1	1	2551	Nuts	Oilseeds	3490000	90000	20000	5 - NUTS AND DERIVED PRODUCTS	5
225	"Hazelnuts, with shell"	1	1	1	1	2551	Nuts	Oilseeds	2910000	60000	288000	5 - NUTS AND DERIVED PRODUCTS	5
226	Arecanuts	1	1	1	1	2551	Nuts	Oilseeds	2450000	49000	44000	5 - NUTS AND DERIVED PRODUCTS	5
229	Brazil Nuts Shelled	2		0	1	2551	Nuts	Oilseeds	6560000	143000	662000	5 - NUTS AND DERIVED PRODUCTS	5
230	Cashew Nuts Shelled	2		0	1	2551	Nuts	Oilseeds	5740000	153000	464000	5 - NUTS AND DERIVED PRODUCTS	5
231	Almonds Shelled	2		0	1	2551	Nuts	Oilseeds	5890000	200000	522000	5 - NUTS AND DERIVED PRODUCTS	5
232	Walnuts Shelled	2		0	1	2551	Nuts	Oilseeds	6420000	143000	619000	5 - NUTS AND DERIVED PRODUCTS	5
233	Hazelnuts Shelled	2		0	1	2551	Nuts	Oilseeds	6320000	130000	626000	5 - NUTS AND DERIVED PRODUCTS	5
234	"Nuts, nes"	1	1	1	1	2551	Nuts	Oilseeds	2620000	70000	250000	5 - NUTS AND DERIVED PRODUCTS	5
235	Prepared Nuts (Exc.Groundnuts)	2		0	1	2551	Nuts	Oilseeds	6150000	155000	562000	5 - NUTS AND DERIVED PRODUCTS	5
236	Soybeans	1	1	1	1	2555	Soyabeans	Oilseeds	3350000	380000	180000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
237	Soybean oil	2		0	1	2571	Soyabean Oil	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
238	Cake of Soybeans	3		0	1	2590	Soyabean Cake	Other	2610000	460000	50000	11 - FODDER CROPS AND PRODUCTS	11
239	Soya Sauce	2		0	1	2555	Soyabeans	Oilseeds	560000	55000	5000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
240	Soya Paste	2		0	1	2555	Soyabeans	Oilseeds	1140000	110000	58000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
241	Soya Curd	2		0	1	2555	Soyabeans	Oilseeds	580000	63000	31000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
242	"Groundnuts, with shell"	1	1	1	1	2556	Groundnuts (Shelled Eq)	Oilseeds	4140000	187000	359000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
243	Groundnuts Shelled	2		0	1	2556	Groundnuts (Shelled Eq)	Oilseeds	5670000	257000	492000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
244	Groundnut oil	2		0	1	2572	Groundnut Oil	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
245	Cake of Groundnuts	3		0	1	2591	Groundnut Cake	Other	3630000	417000	76000	11 - FODDER CROPS AND PRODUCTS	11
246	Prepared Groundnuts	2		0	1	2556	Groundnuts (Shelled Eq)	Oilseeds	5800000	268000	492000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
247	Peanut Butter	2		0	1	2556	Groundnuts (Shelled Eq)	Oilseeds	5890000	243000	500000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
249	Coconuts	1	1	1	1	2560	Coconuts - Incl Copra	Oilseeds	1840000	17000	174000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
250	Coconuts Desiccated	2		0	1	2560	Coconuts - Incl Copra	Oilseeds	6600000	69000	645000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
251	Copra	1		1	1	2560	Coconuts - Incl Copra	Oilseeds	6360000	60000	614000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
252	Coconut (copra) oil	2		0	1	2578	Coconut Oil	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
253	Cake of Copra	3		0	0	2596	Copra Cake	Other	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
256	Palm kernels	1	1	1	1		#N/A	#N/A	5140000	73000	434000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
257	Palm oil	1	1	1	1	2577	Palm Oil	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
258	Palm kernel oil	2		0	1	2576	Palmkernel Oil	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
259	Cake of Palm Kernel	3		0	0	2595	Palmkernel Cake	Other	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
260	Olives	1	1	1	1	2563	Olives	Oilseeds	1750000	13000	175000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
261	"Olive oil, virgin"	2		0	1	2580	Olive Oil	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
262	Olives Preserved	2		0	1	2563	Olives	Oilseeds	1090000	11000	111000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
263	Karite Nuts (Sheanuts)	1	1	1	1	2570	"Oilcrops, Other"	Oilseeds	5790000	68000	490000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
264	Butter of Karite Nuts	2		0	1	2586	"Oilcrops Oil, Other"	Oil	7110000	0	850000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
265	Castor oil seed	4	0	0	0	2570	"Oilcrops, Other"	Oilseeds	#N/A	#N/A	#N/A	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
266	Oil of Castor Beans	2		0	1	2586	"Oilcrops Oil, Other"	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
267	Sunflower seed	1	1	1	1	2557	Sunflowerseed	Oilseeds	3080000	123000	268000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
268	Sunflower oil	2		0	1	2573	Sunflowerseed Oil	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
269	Sunflower Cake	3		0	0	2592	Sunflowerseed Cake	Other	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
270	Rapeseed	1	1	1	1	2558	Rape and Mustardseed	Oilseeds	4940000	196000	450000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
271	Rapeseed oil	2		0	1	2574	Rape and Mustard Oil	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
272	Cake of Rapeseed	3		0	0	2593	Rape and Mustard Cake	Other	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
273	Olive Residues	3		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
274	Oil of Olive Residues	2		0	1	2580	Olive Oil	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
275	Tung Nuts	1	0	0	0	2570	"Oilcrops, Other"	Oilseeds	#N/A	#N/A	#N/A	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
276	Oil of Tung Nuts	2		0	1	2586	"Oilcrops Oil, Other"	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
278	Oil of Jojoba	2		0	0	2586	"Oilcrops Oil, Other"	Oil	#N/A	#N/A	#N/A	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
280	Safflower seed	1	1	1	1	2570	"Oilcrops, Other"	Oilseeds	3140000	97000	303000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
281	Safflower oil	2		0	1	2586	"Oilcrops Oil, Other"	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
282	Cake Safflower	3		0	0	2598	"Oilseed Cakes, Other"	Other	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
289	Sesame seed	1	1	1	1	2561	Sesameseed	Oilseeds	5730000	177000	497000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
290	Sesame oil	2		0	1	2579	Sesameseed Oil	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
291	Cake of Sesame Seed	3		0	1	2597	Sesameseed Cake	Other	3760000	407000	34000	11 - FODDER CROPS AND PRODUCTS	11
292	Mustard seed	1	1	1	1	2558	Rape and Mustardseed	Oilseeds	4690000	249000	288000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
293	Mustard oil	2		0	1	2574	Rape and Mustard Oil	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
294	Cake of Mustard	3		0	0	2593	Rape and Mustard Cake	Other	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
295	Flour of Mustard	2		0	1		#N/A	#N/A	4690000	264000	363000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
296	Poppy seed	1	1	1	1	2570	"Oilcrops, Other"	Oilseeds	5330000	180000	447000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
297	Poppy Oil	2		0	1	2586	"Oilcrops Oil, Other"	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
299	Melonseed	1	1	1	1	2570	"Oilcrops, Other"	Oilseeds	4000000	182000	339000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
306	Vegetable Tallow	2		0	1	2586	"Oilcrops Oil, Other"	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
311	Kapokseed in Shell	1	1	0	0	2570	"Oilcrops, Other"	Oilseeds	#N/A	#N/A	#N/A	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
312	Kapokseed Shelled	2		0	0	2570	"Oilcrops, Other"	Oilseeds	#N/A	#N/A	#N/A	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
313	Oil of Kapok	2		0	1	2586	"Oilcrops Oil, Other"	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
314	Cake of Kapok	3		0	0	2598	"Oilseed Cakes, Other"	Other	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
329	Cottonseed	1	1	1	1	2559	Cottonseed	Oilseeds	2530000	173000	179000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
331	Cottonseed oil	2		0	1	2575	Cottonseed Oil	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
332	Cake of Cottonseed	3		0	0	2594	Cottonseed Cake	Other	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
333	Linseed	1	0	1	1	2570	"Oilcrops, Other"	Oilseeds	4980000	180000	340000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
334	Linseed oil	2		0	1	2586	"Oilcrops Oil, Other"	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
335	Cake of Linseed	3		0	0	2598	"Oilseed Cakes, Other"	Other	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
336	Hempseed	1	1	0	0	2570	"Oilcrops, Other"	Oilseeds	#N/A	#N/A	#N/A	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
338	Cake of Hempseed	3		0	0	2598	"Oilseed Cakes, Other"	Other	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
339	"Oilseeds, Nes"	1	1	1	1	2570	"Oilcrops, Other"	Oilseeds	3870000	147000	317000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
340	"Oil of vegetable origin, nes"	2		0	1	2586	"Oilcrops Oil, Other"	Oil	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
341	"Cake of Oilseeds, Nes"	3		0	0	2598	"Oilseed Cakes, Other"	Other	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
343	Flour of Oilseeds	2		0	1	2570	"Oilcrops, Other"	Oilseeds	3930000	372000	156000	6 - OIL-BEARING CROPS AND DERIVED PRODUCTS	6
358	Cabbages and other brassicas	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	190000	10000	1000	7 - VEGETABLES AND DERIVED PRODUCTS	7
366	Artichokes	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	200000	11000	1000	7 - VEGETABLES AND DERIVED PRODUCTS	7
367	Asparagus	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	120000	16000	1000	7 - VEGETABLES AND DERIVED PRODUCTS	7
372	Lettuce and chicory	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	120000	11000	2000	7 - VEGETABLES AND DERIVED PRODUCTS	7
373	Spinach	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	160000	21000	3000	7 - VEGETABLES AND DERIVED PRODUCTS	7
388	Tomatoes	1	1	1	1	2601	Tomatoes	Fruits&Vegs	170000	8000	2000	7 - VEGETABLES AND DERIVED PRODUCTS	7
389	Tomatojuice Concentrated	2		0	1	2601	Tomatoes	Fruits&Vegs	760000	34000	4000	7 - VEGETABLES AND DERIVED PRODUCTS	7
390	Juice of Tomatoes	2		0	1	2601	Tomatoes	Fruits&Vegs	170000	8000	1000	7 - VEGETABLES AND DERIVED PRODUCTS	7
391	Paste of Tomatoes	2		0	1	2601	Tomatoes	Fruits&Vegs	840000	38000	9000	7 - VEGETABLES AND DERIVED PRODUCTS	7
392	Tomato Peeled	2		0	1	2601	Tomatoes	Fruits&Vegs	190000	9000	2000	7 - VEGETABLES AND DERIVED PRODUCTS	7
393	Cauliflowers and broccoli	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	90000	8000	1000	7 - VEGETABLES AND DERIVED PRODUCTS	7
394	"Pumpkins, squash and gourds"	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	190000	9000	1000	7 - VEGETABLES AND DERIVED PRODUCTS	7
397	Cucumbers and gherkins	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	130000	5000	1000	7 - VEGETABLES AND DERIVED PRODUCTS	7
399	Eggplants (aubergines)	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	210000	9000	1000	7 - VEGETABLES AND DERIVED PRODUCTS	7
401	"Chillies and peppers, green"	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	250000	11000	3000	7 - VEGETABLES AND DERIVED PRODUCTS	7
402	"Onions (inc. shallots), green"	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	240000	17000	1000	7 - VEGETABLES AND DERIVED PRODUCTS	7
403	"Onions, dry"	1	1	1	1	2602	Onions	Fruits&Vegs	310000	11000	2000	7 - VEGETABLES AND DERIVED PRODUCTS	7
406	Garlic	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	1300000	55000	4000	7 - VEGETABLES AND DERIVED PRODUCTS	7
407	"Leeks, other alliaceous veg"	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	370000	7000	1000	7 - VEGETABLES AND DERIVED PRODUCTS	7
414	"Beans, green"	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	500000	30000	4000	7 - VEGETABLES AND DERIVED PRODUCTS	7
417	"Peas, green"	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	310000	21000	2000	7 - VEGETABLES AND DERIVED PRODUCTS	7
420	"Leguminous vegetables, nes"	1	1	0	0	2605	"Vegetables, Other"	Fruits&Vegs	#N/A	#N/A	#N/A	7 - VEGETABLES AND DERIVED PRODUCTS	7
423	String beans	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	270000	16000	1000	7 - VEGETABLES AND DERIVED PRODUCTS	7
426	Carrots and turnips	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	380000	9000	2000	7 - VEGETABLES AND DERIVED PRODUCTS	7
430	Okra	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	310000	16000	3000	7 - VEGETABLES AND DERIVED PRODUCTS	7
446	"Maize, green"	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	560000	21000	8000	7 - VEGETABLES AND DERIVED PRODUCTS	7
447	Sweet Corn Frozen	2		0	1	2605	"Vegetables, Other"	Fruits&Vegs	540000	18000	4000	7 - VEGETABLES AND DERIVED PRODUCTS	7
448	Sweet Corn Prep or Preserved	2		0	1	2605	"Vegetables, Other"	Fruits&Vegs	770000	23000	6000	7 - VEGETABLES AND DERIVED PRODUCTS	7
449	Mushrooms and truffles	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	240000	20000	4000	7 - VEGETABLES AND DERIVED PRODUCTS	7
450	Dried Mushrooms	2		0	1	2605	"Vegetables, Other"	Fruits&Vegs	2960000	96000	10000	7 - VEGETABLES AND DERIVED PRODUCTS	7
451	Canned Mushrooms	2		0	1	2605	"Vegetables, Other"	Fruits&Vegs	240000	19000	3000	7 - VEGETABLES AND DERIVED PRODUCTS	7
459	Chicory roots	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	600000	11000	2000	13 - TOBACCO AND RUBBER AND OTHER CROPS	13
460	Veg.Prod.Fresh Or Dried	2		0	1		#N/A	#N/A	990000	63000	9000	13 - TOBACCO AND RUBBER AND OTHER CROPS	13
461	Carobs	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	1110000	16000	5000	13 - TOBACCO AND RUBBER AND OTHER CROPS	13
463	Vegetables fresh nes	1	1	1	1	2605	"Vegetables, Other"	Fruits&Vegs	220000	14000	2000	7 - VEGETABLES AND DERIVED PRODUCTS	7
464	"Vegetables, dried nes"	2		0	1	2605	"Vegetables, Other"	Fruits&Vegs	1760000	112000	16000	7 - VEGETABLES AND DERIVED PRODUCTS	7
465	"Vegetables, canned nes"	2		0	1	2605	"Vegetables, Other"	Fruits&Vegs	360000	14000	3000	7 - VEGETABLES AND DERIVED PRODUCTS	7
466	Juice of Vegetables Nes	2		0	1	2605	"Vegetables, Other"	Fruits&Vegs	190000	6000	1000	7 - VEGETABLES AND DERIVED PRODUCTS	7
469	Vegetables Dehydrated	2		0	1	2605	"Vegetables, Other"	Fruits&Vegs	3410000	66000	13000	7 - VEGETABLES AND DERIVED PRODUCTS	7
471	Vegetables in Vinegar	2		0	1	2605	"Vegetables, Other"	Fruits&Vegs	290000	14000	13000	7 - VEGETABLES AND DERIVED PRODUCTS	7
472	Vegetables Preserved Nes	2		0	0	2605	"Vegetables, Other"	Fruits&Vegs	#N/A	#N/A	#N/A	7 - VEGETABLES AND DERIVED PRODUCTS	7
473	Vegetable Frozen	2		0	1	2605	"Vegetables, Other"	Fruits&Vegs	710000	33000	5000	7 - VEGETABLES AND DERIVED PRODUCTS	7
474	Veg.in Tem. Preservatives	2		0	1	2605	"Vegetables, Other"	Fruits&Vegs	650000	33000	3000	7 - VEGETABLES AND DERIVED PRODUCTS	7
475	Veg.Prep. Or Pres.Frozen	2		0	1	2605	"Vegetables, Other"	Fruits&Vegs	540000	24000	4000	7 - VEGETABLES AND DERIVED PRODUCTS	7
476	Homogen.Veget.Prep	2		0	1	2605	"Vegetables, Other"	Fruits&Vegs	410000	12000	5000	7 - VEGETABLES AND DERIVED PRODUCTS	7
486	Bananas	1	1	1	1	2615	Bananas	Fruits&Vegs	600000	7000	3000	8 - FRUITS AND DERIVED PRODUCTS	8
489	Plantains	1	1	1	1	2616	Plantains	Fruits&Vegs	750000	8000	3000	8 - FRUITS AND DERIVED PRODUCTS	8
490	Oranges	1	1	1	1	2611	"Oranges, Mandarines"	Fruits&Vegs	340000	7000	1000	8 - FRUITS AND DERIVED PRODUCTS	8
491	"Orange juice, single strength"	2		0	1	2611	"Oranges, Mandarines"	Fruits&Vegs	420000	6000	1000	8 - FRUITS AND DERIVED PRODUCTS	8
492	"Orange juice, concentrated"	2		0	1	2611	"Oranges, Mandarines"	Fruits&Vegs	1590000	24000	2000	8 - FRUITS AND DERIVED PRODUCTS	8
495	"Tangerines, mandarins, clem."	1	1	1	1	2611	"Oranges, Mandarines"	Fruits&Vegs	320000	5000	1000	8 - FRUITS AND DERIVED PRODUCTS	8
496	Tangerine Juice	2		0	1	2611	"Oranges, Mandarines"	Fruits&Vegs	430000	5000	2000	8 - FRUITS AND DERIVED PRODUCTS	8
497	Lemons and limes	1	1	1	1	2612	"Lemons, Limes"	Fruits&Vegs	150000	6000	2000	8 - FRUITS AND DERIVED PRODUCTS	8
498	"Lemon juice, single strength"	2		0	1	2612	"Lemons, Limes"	Fruits&Vegs	220000	5000	3000	8 - FRUITS AND DERIVED PRODUCTS	8
499	"Lemon juice, concentrated"	2		0	1	2612	"Lemons, Limes"	Fruits&Vegs	1160000	23000	9000	8 - FRUITS AND DERIVED PRODUCTS	8
507	Grapefruit (inc. pomelos)	1	1	1	1	2613	Grapefruit	Fruits&Vegs	160000	3000	1000	8 - FRUITS AND DERIVED PRODUCTS	8
509	Juice of Grapefruit	2		0	1	2613	Grapefruit	Fruits&Vegs	390000	5000	1000	8 - FRUITS AND DERIVED PRODUCTS	8
510	"Grapefruit juice, concentrated"	2		0	1	2613	Grapefruit	Fruits&Vegs	1460000	20000	5000	8 - FRUITS AND DERIVED PRODUCTS	8
512	"Citrus fruit, nes"	1	1	1	1	2614	"Citrus, Other"	Fruits&Vegs	260000	5000	2000	8 - FRUITS AND DERIVED PRODUCTS	8
513	"Citrus juice, single strength"	2		0	1	2614	"Citrus, Other"	Fruits&Vegs	470000	6000	2000	8 - FRUITS AND DERIVED PRODUCTS	8
514	"Citrus juice, concentrated"	2		0	1	2614	"Citrus, Other"	Fruits&Vegs	1570000	21000	5000	8 - FRUITS AND DERIVED PRODUCTS	8
515	Apples	1	1	1	1	2617	Apples	Fruits&Vegs	480000	1000	3000	8 - FRUITS AND DERIVED PRODUCTS	8
517	Cider Etc	2		0	1	2657	"Beverages, Fermented"	Beverages	470000	1000	0	15 - BEVERAGES	15
518	"Apple juice, single strength"	2		0	1	2617	Apples	Fruits&Vegs	470000	1000	1000	8 - FRUITS AND DERIVED PRODUCTS	8
519	"Apple juice, concentrated"	2		0	1	2617	Apples	Fruits&Vegs	1660000	5000	4000	8 - FRUITS AND DERIVED PRODUCTS	8
521	Pears	1	1	1	1	2625	"Fruits, Other"	Fruits&Vegs	540000	4000	4000	8 - FRUITS AND DERIVED PRODUCTS	8
523	Quinces	1	1	1	1	2625	"Fruits, Other"	Fruits&Vegs	350000	2000	1000	8 - FRUITS AND DERIVED PRODUCTS	8
526	Apricots	1	1	1	1	2625	"Fruits, Other"	Fruits&Vegs	450000	13000	4000	8 - FRUITS AND DERIVED PRODUCTS	8
