cropid	cropname	primary(1)_secondary(2)_feed(3)	Edible_(1 yes)_(0isno)_(2isnonnutritinoal)	ProductionL	TradeL	FBS ID	FBS name	group	kcal/ton	Protein(g/ton)	Fat(g/ton)	Group	Groupnum
1083	"Pigeons, Other Birds"	2		0	0		#N/A	#N/A	2260000	142000	183000	16 - LIVESTOCK	16
1089	"Bird meat, nes"	1		1	1	2735	"Meat, Other"	Meat	1850000	171000	124000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1091	"Other bird eggs,in shell"	1		1	1	2744	Eggs	Eggs	1630000	113000	121000	18 - PRODUCTS FROM LIVE ANIMALS	18
1096	Horses	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	16 - LIVESTOCK	16
1097	Horse meat	1		1	1	2735	"Meat, Other"	Meat	850000	155000	20000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1098	Offals of Horses	2		0	1	2736	"Offals, Edible"	Meat	1050000	184000	25000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1100	Hair of Horses	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN	9
1103	Hides Wet Salted Horses	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	19 - HIDES AND SKINS	19
1104	Hides Dry Slt Horses	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	19 - HIDES AND SKINS	19
1105	Hides Unsp Horse	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	19 - HIDES AND SKINS	19
1107	Asses	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	16 - LIVESTOCK	16
1108	Meat of Asses	1		1	1	2735	"Meat, Other"	Meat	940000	150000	30000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1110	Mules	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	16 - LIVESTOCK	16
1126	Camels	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	16 - LIVESTOCK	16
1127	Camel meat	1		1	1	2735	"Meat, Other"	Meat	1740000	127000	132000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1129	Fat of Camels	2		0	1	2737	"Fats, Animals, Raw"	Meat	8470000	20000	930000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
1134	Hides Wet Salted Camels	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	19 - HIDES AND SKINS	19
1136	Hides Unsp Camels	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	19 - HIDES AND SKINS	19
